family,instance_id,restricted,topology,synthesis,baseline_true_cells,common_true_cells,lost_in_any_other_seed,lost_in_all_other_seeds,new_true_cells,baseline_unknown_under_other_seeds,retention,classification
max3sat,max3sat_005,False,grid12,reuse,216,216,0,0,0,0,1.0,stable
max3sat,max3sat_005,False,line12,canonical,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_005,False,line12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_005,False,ring12,canonical,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_005,False,ring12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_006,False,grid12,canonical,329,260,69,0,373,0,0.790273556231003,partial
max3sat,max3sat_006,False,grid12,reuse,0,0,0,0,180,0,N/A,empty_baseline
max3sat,max3sat_006,False,line12,canonical,346,250,96,0,260,0,0.7225433526011561,partial
max3sat,max3sat_006,False,line12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_006,False,ring12,canonical,462,250,212,0,185,0,0.5411255411255411,partial
max3sat,max3sat_006,False,ring12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_007,False,grid12,canonical,2016,1836,180,0,180,0,0.9107142857142857,partial
max3sat,max3sat_007,False,grid12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_007,False,line12,canonical,1230,0,1230,0,390,0,0.0,disappeared
max3sat,max3sat_007,False,line12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_007,False,ring12,canonical,1230,0,1230,0,390,0,0.0,disappeared
max3sat,max3sat_007,False,ring12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_008,False,grid12,canonical,1716,0,1716,0,957,0,0.0,disappeared
max3sat,max3sat_008,False,grid12,reuse,1764,0,1764,0,180,0,0.0,disappeared
max3sat,max3sat_008,False,line12,canonical,1500,435,1065,320,795,0,0.29,partial
max3sat,max3sat_008,False,line12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_008,False,ring12,canonical,439,159,280,0,1644,0,0.3621867881548975,partial
max3sat,max3sat_008,False,ring12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_009,False,grid12,canonical,210,0,210,0,36,0,0.0,disappeared
max3sat,max3sat_009,False,grid12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_009,False,line12,canonical,994,0,994,565,60,0,0.0,disappeared
max3sat,max3sat_009,False,line12,reuse,180,180,0,0,0,0,1.0,stable
max3sat,max3sat_009,False,ring12,canonical,1516,0,1516,1120,61,0,0.0,disappeared
max3sat,max3sat_009,False,ring12,reuse,180,180,0,0,0,0,1.0,stable
max3sat,max3sat_010,True,grid12,canonical,1686,276,1410,0,861,0,0.16370106761565836,partial
max3sat,max3sat_010,True,grid12,reuse,1938,0,1938,1938,0,0,0.0,disappeared
max3sat,max3sat_010,True,line12,canonical,645,645,0,0,280,0,1.0,stable
max3sat,max3sat_010,True,line12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_010,True,ring12,canonical,740,740,0,0,0,0,1.0,stable
max3sat,max3sat_010,True,ring12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_011,False,grid12,canonical,432,432,0,0,1800,0,1.0,stable
max3sat,max3sat_011,False,grid12,reuse,432,0,432,0,1692,0,0.0,disappeared
max3sat,max3sat_011,False,line12,canonical,144,144,0,0,1836,0,1.0,stable
max3sat,max3sat_011,False,line12,reuse,1620,1620,0,0,0,0,1.0,stable
max3sat,max3sat_011,False,ring12,canonical,144,144,0,0,1650,0,1.0,stable
max3sat,max3sat_011,False,ring12,reuse,1620,1620,0,0,33,0,1.0,stable
max3sat,max3sat_012,False,grid12,canonical,1645,1645,0,0,35,0,1.0,stable
max3sat,max3sat_012,False,grid12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_012,False,line12,canonical,0,0,0,0,0,0,N/A,empty_baseline
