family,instance_id,topology,synthesis,true_cells,false_cells,unknown_cells,any_true,seed_union_interpretation
max3sat,max3sat_027,line12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_027,ring12,canonical,1316,19607,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_027,ring12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_028,grid12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_028,grid12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_028,line12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_028,line12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_028,ring12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_028,ring12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_029,grid12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_029,grid12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_029,line12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_029,line12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_029,ring12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_029,ring12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_000,grid12,canonical,270,20653,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_000,grid12,reuse,1144,19779,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_000,line12,canonical,225,20698,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_000,line12,reuse,467,20456,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_000,ring12,canonical,85,20838,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_000,ring12,reuse,6,20917,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_001,grid12,canonical,822,20101,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_001,grid12,reuse,180,20743,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_001,line12,canonical,1497,19426,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_001,line12,reuse,1073,19850,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_001,ring12,canonical,266,20657,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_001,ring12,reuse,174,20749,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_002,grid12,canonical,114,20809,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_002,grid12,reuse,489,20434,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_002,line12,canonical,149,20774,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_002,line12,reuse,684,20239,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_002,ring12,canonical,56,20867,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_002,ring12,reuse,6,20917,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_003,grid12,canonical,577,20346,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_003,grid12,reuse,630,20293,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_003,line12,canonical,465,20458,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_003,line12,reuse,330,20593,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_003,ring12,canonical,50,20873,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_003,ring12,reuse,123,20800,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_004,grid12,canonical,781,20142,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_004,grid12,reuse,258,20665,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_004,line12,canonical,360,20563,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_004,line12,reuse,741,20182,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_004,ring12,canonical,258,20665,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_004,ring12,reuse,120,20803,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_005,grid12,canonical,860,20063,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_005,grid12,reuse,324,20599,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_005,line12,canonical,741,20182,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_005,line12,reuse,408,20515,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_005,ring12,canonical,178,20745,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_005,ring12,reuse,43,20880,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_006,grid12,canonical,334,20589,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_006,grid12,reuse,204,20719,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_006,line12,canonical,516,20407,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_006,line12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_006,ring12,canonical,91,20832,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_006,ring12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_007,grid12,canonical,587,20336,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_007,grid12,reuse,320,20603,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_007,line12,canonical,793,20130,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_007,line12,reuse,433,20490,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_007,ring12,canonical,82,20841,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_007,ring12,reuse,100,20823,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_008,grid12,canonical,1831,19092,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_008,grid12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_008,line12,canonical,425,20498,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_008,line12,reuse,115,20808,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_008,ring12,canonical,211,20712,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_008,ring12,reuse,132,20791,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_009,grid12,canonical,459,20464,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_009,grid12,reuse,249,20674,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_009,line12,canonical,416,20507,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_009,line12,reuse,45,20878,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_009,ring12,canonical,219,20704,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_009,ring12,reuse,48,20875,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_010,grid12,canonical,78,20845,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_010,grid12,reuse,48,20875,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_010,line12,canonical,174,20749,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_010,line12,reuse,339,20584,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_010,ring12,canonical,69,20854,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_010,ring12,reuse,138,20785,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_011,grid12,canonical,132,20791,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_011,grid12,reuse,60,20863,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_011,line12,canonical,313,20610,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_011,line12,reuse,144,20779,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
pair_star_isolated,pair_star_isolated_011,ring12,canonical,287,20636,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
