family,instance_id,topology,synthesis,seed,selected_candidate_id,selected_category,baseline_selected_candidate_id,baseline_selected_feasible,baseline_budget_cells,retained_baseline_budget_cells,baseline_coverage_retention,baseline_resource_task_id,current_resource_task_id,budget_set_definition
max3sat,max3sat_001,line12,reuse,57721,fe81bec2e7ef39a37da9967c,native,fe81bec2e7ef39a37da9967c,TRUE,13230,13230,1.0,efe3d1f6446627850cd81fcb,fcdef0820cdf22e4231b8c72,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,line12,reuse,65537,fe81bec2e7ef39a37da9967c,native,fe81bec2e7ef39a37da9967c,TRUE,13230,13230,1.0,efe3d1f6446627850cd81fcb,8a6b81a133b2cd2b761e78e5,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,ring12,canonical,1729,2240406fe8a62a7c7c1decbf,native,2240406fe8a62a7c7c1decbf,TRUE,9065,9065,1.0,837bbb44a314ec6f8a313fd9,837bbb44a314ec6f8a313fd9,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,ring12,canonical,2718,2240406fe8a62a7c7c1decbf,native,2240406fe8a62a7c7c1decbf,TRUE,9065,9065,1.0,837bbb44a314ec6f8a313fd9,179e0e6477cf575183eb89f3,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,ring12,canonical,31415,2240406fe8a62a7c7c1decbf,native,2240406fe8a62a7c7c1decbf,TRUE,9065,9065,1.0,837bbb44a314ec6f8a313fd9,1ced5452df2f2a0392606666,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,ring12,canonical,57721,2240406fe8a62a7c7c1decbf,native,2240406fe8a62a7c7c1decbf,TRUE,9065,9065,1.0,837bbb44a314ec6f8a313fd9,bc0a87031767150fca466a67,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,ring12,canonical,65537,2240406fe8a62a7c7c1decbf,native,2240406fe8a62a7c7c1decbf,TRUE,9065,9065,1.0,837bbb44a314ec6f8a313fd9,3e1abc6e88800b2295870231,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,ring12,reuse,1729,e707657e62915c842c9a742c,native,e707657e62915c842c9a742c,TRUE,13230,13230,1.0,bfa2b83939ad49c88a9ce958,bfa2b83939ad49c88a9ce958,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,ring12,reuse,2718,e707657e62915c842c9a742c,native,e707657e62915c842c9a742c,TRUE,13230,13230,1.0,bfa2b83939ad49c88a9ce958,12ce55b4104ae5a840193905,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,ring12,reuse,31415,e707657e62915c842c9a742c,native,e707657e62915c842c9a742c,TRUE,13230,13230,1.0,bfa2b83939ad49c88a9ce958,ffec8dbd442d2d50cc2c9419,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,ring12,reuse,57721,e707657e62915c842c9a742c,native,e707657e62915c842c9a742c,TRUE,13230,13230,1.0,bfa2b83939ad49c88a9ce958,f95bfaad50c6957b8922dad2,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,ring12,reuse,65537,e707657e62915c842c9a742c,native,e707657e62915c842c9a742c,TRUE,13230,13230,1.0,bfa2b83939ad49c88a9ce958,398a7bca94ab8020e54785cc,all complete grid tuples feasible for the fixed baseline J winner
