ci95_high,ci95_low,df,family,mean,metric,n_instances,noise_level,representation,sd
0.8108121838256147,0.6667702814521631,8,max3sat,0.7387912326388889,auxiliary_inconsistency_rate,9,noiseless,matched_random_selective,0.09369577888508336
12.8313857115813,6.452182720131665,8,max3sat,9.641784215856482,original_objective_mean,9,realistic_high,matched_random_selective,4.149517488322831
0.12126200022430453,-0.008056705085415616,8,max3sat,0.056602647569444456,optimum_hit_rate,9,realistic_high,matched_random_selective,0.08411869476001875
25.108335544619163,13.328079385936395,8,max3sat,19.21820746527778,encoded_energy_mean,9,realistic_high,matched_random_selective,7.6627721382900615
0.832374360080261,0.7099578158456649,8,max3sat,0.7711660879629629,auxiliary_inconsistency_rate,9,realistic_high,matched_random_selective,0.0796290056676922
12.427837158388984,6.175530173786941,8,max3sat,9.301683666087962,original_objective_mean,9,realistic_low,matched_random_selective,4.0669747004043115
0.13038397903268356,-0.004978886440090979,8,max3sat,0.06270254629629629,optimum_hit_rate,9,realistic_low,matched_random_selective,0.08805027497974757
24.708871890146064,12.712590783465046,8,max3sat,18.710731336805555,encoded_energy_mean,9,realistic_low,matched_random_selective,7.803291149965073
0.82378931401457,0.6952138688558003,8,max3sat,0.7595015914351851,auxiliary_inconsistency_rate,9,realistic_low,matched_random_selective,0.08363522198154216
12.124562153593518,5.278306046637963,8,max3sat,8.70143410011574,original_objective_mean,9,noiseless,selective,4.453324260636729
0.16367847862184443,-0.0008457239922147614,8,max3sat,0.08141637731481483,optimum_hit_rate,9,noiseless,selective,0.10701902054448795
32.58789617069065,13.369948881392686,8,max3sat,22.978922526041668,encoded_energy_mean,9,noiseless,selective,12.500810598674276
0.8284242853551298,0.6482828905707962,8,max3sat,0.738353587962963,auxiliary_inconsistency_rate,9,noiseless,selective,0.11717762689639619
12.984319772442499,6.399451205566757,8,max3sat,9.691885489004628,original_objective_mean,9,realistic_high,selective,4.283297978318287
0.12435946548373675,-0.008094274511514517,8,max3sat,0.05813259548611111,optimum_hit_rate,9,realistic_high,selective,0.08615795911193645
32.987847135619226,15.664514698871512,8,max3sat,24.32618091724537,encoded_energy_mean,9,realistic_high,selective,11.268409391998315
0.8356268634957965,0.7137799652079072,8,max3sat,0.7747034143518519,auxiliary_inconsistency_rate,9,realistic_high,selective,0.07925846473629684
12.759045000690842,6.150116602318418,8,max3sat,9.45458080150463,original_objective_mean,9,realistic_low,selective,4.298948317662464
0.1314408964466469,-0.007381289965165412,8,max3sat,0.062029803240740734,optimum_hit_rate,9,realistic_low,selective,0.09030047970806529
32.991197891625404,15.106114753050518,8,max3sat,24.048656322337962,encoded_energy_mean,9,realistic_low,selective,11.633814657269513
0.8318595793185977,0.701361630172143,8,max3sat,0.7666106047453703,auxiliary_inconsistency_rate,9,realistic_low,selective,0.08488576439710119
