budget_key,ci95_high,ci95_low,df,dz,family,favorable_direction,losses,mean,metric,n_instances,representation,sd,ties,wins
equal_2q_budget_128,0.9164200916549695,0.6272870996469874,6,4.937835086229766,max3sat,lower,7,0.7718535956509784,auxiliary_inconsistency_rate,7,matched_random_selective,0.1563141705164397,0,0
equal_2q_budget_256,2.653759216893308,0.37880858934486206,6,1.2328432134406067,max3sat,lower,6,1.5162839031190851,original_objective_mean,7,matched_random_selective,1.2299081396469345,0,1
equal_2q_budget_256,0.028447600360335924,-0.12930435524974732,6,-0.5912886505139793,max3sat,higher,4,-0.05042837744470569,optimum_hit_rate,7,matched_random_selective,0.08528554945350413,2,1
equal_2q_budget_256,19.900183187781405,5.454131925926249,6,1.6232000087349245,max3sat,lower,7,12.677157556853826,encoded_energy_mean,7,matched_random_selective,7.8099787386854675,0,0
equal_2q_budget_256,0.8887623796453479,0.5777020880613306,6,4.360098234048246,max3sat,lower,7,0.7332322338533392,auxiliary_inconsistency_rate,7,matched_random_selective,0.16816874173326843,0,0
equal_layer_p1,3.0275394597922753,-0.24759624538090685,6,0.7850113381112561,max3sat,lower,6,1.3899716072056842,original_objective_mean,7,matched_random_selective,1.770638893636833,0,1
equal_layer_p1,-0.0012490709133447728,-0.12256791057801014,6,-0.9438897472014447,max3sat,higher,4,-0.061908490745677454,optimum_hit_rate,7,matched_random_selective,0.06558868864634988,3,0
equal_layer_p1,18.467643809211737,5.439605625623036,6,1.697148694393476,max3sat,lower,7,11.953624717417386,encoded_energy_mean,7,matched_random_selective,7.043357342174047,0,0
equal_layer_p1,0.8824164851042637,0.5934104423561024,6,4.722781039925802,max3sat,lower,7,0.7379134637301831,auxiliary_inconsistency_rate,7,matched_random_selective,0.1562455378498293,0,0
equal_layer_p2,2.759396894236607,-0.3752755440538509,6,0.7034050726503654,max3sat,lower,5,1.1920606750913783,original_objective_mean,7,matched_random_selective,1.6947001399916033,0,2
equal_layer_p2,0.008716662737010383,-0.10604839067485948,6,-0.7843575381498331,max3sat,higher,3,-0.04866586396892455,optimum_hit_rate,7,matched_random_selective,0.06204551062735892,4,0
equal_layer_p2,20.043327814713194,3.997447612111765,6,1.3856521835532156,max3sat,lower,7,12.020387713412479,encoded_energy_mean,7,matched_random_selective,8.67489537135409,0,0
equal_layer_p2,0.8864405396148911,0.5579723450214964,6,4.0669359687180755,max3sat,lower,7,0.7222064423181938,auxiliary_inconsistency_rate,7,matched_random_selective,0.17757998844172554,0,0
equal_2q_budget_128,1.0926562312473251,-1.012774378656156,6,0.03508944507085808,max3sat,lower,3,0.03994092629558451,original_objective_mean,7,selective,1.1382604146326498,2,2
equal_2q_budget_128,0.01963678701608583,-0.05028732432873512,6,-0.40539691634374764,max3sat,higher,2,-0.015325268656324645,optimum_hit_rate,7,selective,0.037803120937727884,4,1
equal_2q_budget_128,27.329660944793403,7.529386323337119,6,1.6282219450336644,max3sat,lower,7,17.429523634065262,encoded_energy_mean,7,selective,10.704636236618772,0,0
equal_2q_budget_128,0.9460906921849733,0.5847071813855568,6,3.917588552322774,max3sat,lower,7,0.765398936785265,auxiliary_inconsistency_rate,7,selective,0.1953750187296859,0,0
equal_2q_budget_256,2.9947276814166637,0.026615886084639495,6,0.9414324477286323,max3sat,lower,5,1.5106717837506516,original_objective_mean,7,selective,1.604652343771884,0,2
equal_2q_budget_256,0.04475558578141526,-0.1413533312398938,6,-0.4800308099915146,max3sat,higher,4,-0.048298872729239266,optimum_hit_rate,7,selective,0.1006161932191249,1,2
equal_2q_budget_256,30.087076316241856,6.505239251747527,6,1.4350980113046956,max3sat,lower,7,18.29615778399469,encoded_energy_mean,7,selective,12.749064969688755,0,0
equal_2q_budget_256,0.9155494436708318,0.5723000879797442,6,4.008838736823176,max3sat,lower,7,0.743924765825288,auxiliary_inconsistency_rate,7,selective,0.18557113784397697,0,0
equal_layer_p1,3.5631158705608605,0.23430464419571595,6,1.0550397660978978,max3sat,lower,6,1.8987102573782881,original_objective_mean,7,selective,1.799657527981846,0,1
equal_layer_p1,0.018356876001295423,-0.13384425039595205,6,-0.7017556947281828,max3sat,higher,4,-0.057743687197328315,optimum_hit_rate,7,selective,0.08228460079642771,2,1
equal_layer_p1,30.95229362775897,7.41125074414164,6,1.5071703100908243,max3sat,lower,7,19.181772185950305,encoded_energy_mean,7,selective,12.727010383315196,0,0
equal_layer_p1,0.926576653865352,0.6110282415163178,6,4.506590096589664,max3sat,lower,7,0.768802447690835,auxiliary_inconsistency_rate,7,selective,0.17059515758325164,0,0
equal_layer_p2,3.2727325811145236,0.5972844494269545,6,1.3377829135327355,max3sat,lower,7,1.935008515270739,original_objective_mean,7,selective,1.4464293837935833,0,0
equal_layer_p2,-0.002712595210944538,-0.14753907451480364,6,-0.9594904094298622,max3sat,higher,5,-0.07512583486287408,optimum_hit_rate,7,selective,0.07829764021040557,2,0
equal_layer_p2,30.881600702382915,7.746306519383726,6,1.544171233695698,max3sat,lower,7,19.31395361088332,encoded_energy_mean,7,selective,12.507650181164703,0,0
equal_layer_p2,0.9248675485088846,0.6403637411242953,6,5.0881480872232,max3sat,lower,7,0.78261564481659,auxiliary_inconsistency_rate,7,selective,0.15381149121461474,0,0
