actual_2q_gates,budget,design_id,initial_depth_provenance,initial_p_reconstructed,instance_id,noise_level,random_rep_seed,realised_depth_provenance,realised_p,reduction,representation,restart_id,source_row,source_sha256
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,noiseless,2026082715,archived_p_column,3,0,matched_random_selective,0,65,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_low,2026082715,archived_p_column,3,0,matched_random_selective,0,66,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_high,2026082715,archived_p_column,3,0,matched_random_selective,0,67,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,noiseless,2026082715,archived_p_column,3,0,matched_random_selective,1,68,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_low,2026082715,archived_p_column,3,0,matched_random_selective,1,69,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_high,2026082715,archived_p_column,3,0,matched_random_selective,1,70,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,noiseless,2026082715,archived_p_column,3,0,matched_random_selective,2,71,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_low,2026082715,archived_p_column,3,0,matched_random_selective,2,72,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_high,2026082715,archived_p_column,3,0,matched_random_selective,2,73,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
180,256,design_a6f025aa56fe7063e921,floor(recorded_budget/recorded_per_layer_gates),4,inst_1b4f0ef7fd72cb047be9f8d1f10dd8b773de7906795b02e88a72b0aec525d5ef,noiseless,,archived_p_column,3,1,all_native,0,74,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
180,256,design_a6f025aa56fe7063e921,floor(recorded_budget/recorded_per_layer_gates),4,inst_1b4f0ef7fd72cb047be9f8d1f10dd8b773de7906795b02e88a72b0aec525d5ef,realistic_low,,archived_p_column,3,1,all_native,0,75,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
180,256,design_a6f025aa56fe7063e921,floor(recorded_budget/recorded_per_layer_gates),4,inst_1b4f0ef7fd72cb047be9f8d1f10dd8b773de7906795b02e88a72b0aec525d5ef,realistic_high,,archived_p_column,3,1,all_native,0,76,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
180,256,design_a6f025aa56fe7063e921,floor(recorded_budget/recorded_per_layer_gates),4,inst_1b4f0ef7fd72cb047be9f8d1f10dd8b773de7906795b02e88a72b0aec525d5ef,noiseless,,archived_p_column,3,1,all_native,1,77,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
180,256,design_a6f025aa56fe7063e921,floor(recorded_budget/recorded_per_layer_gates),4,inst_1b4f0ef7fd72cb047be9f8d1f10dd8b773de7906795b02e88a72b0aec525d5ef,realistic_low,,archived_p_column,3,1,all_native,1,78,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
180,256,design_a6f025aa56fe7063e921,floor(recorded_budget/recorded_per_layer_gates),4,inst_1b4f0ef7fd72cb047be9f8d1f10dd8b773de7906795b02e88a72b0aec525d5ef,realistic_high,,archived_p_column,3,1,all_native,1,79,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
180,256,design_a6f025aa56fe7063e921,floor(recorded_budget/recorded_per_layer_gates),4,inst_1b4f0ef7fd72cb047be9f8d1f10dd8b773de7906795b02e88a72b0aec525d5ef,noiseless,,archived_p_column,3,1,all_native,2,80,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
180,256,design_a6f025aa56fe7063e921,floor(recorded_budget/recorded_per_layer_gates),4,inst_1b4f0ef7fd72cb047be9f8d1f10dd8b773de7906795b02e88a72b0aec525d5ef,realistic_low,,archived_p_column,3,1,all_native,2,81,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
180,256,design_a6f025aa56fe7063e921,floor(recorded_budget/recorded_per_layer_gates),4,inst_1b4f0ef7fd72cb047be9f8d1f10dd8b773de7906795b02e88a72b0aec525d5ef,realistic_high,,archived_p_column,3,1,all_native,2,82,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
