budget_key,ci95_high,ci95_low,ci_method,ci_status,ci_unit,depth_stratum,df,family,mean,metric,multiplicity,n_instances,policy,representation,scope,sd,study,zero_depth_instance_count
equal_layer_p2,0.0,0.0,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,positive_depth_only,6,cubic_spin_glass,0.0,auxiliary_inconsistency_rate,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,0.0,original_e4,0
equal_layer_p2,1.0000000000000007,0.9999999999999998,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,positive_depth_only,6,cubic_spin_glass,1.0000000000000002,statevector_norm,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,5.047141111338362e-16,original_e4,0
equal_2q_budget_128,-0.04479750860460069,-0.8327528840671381,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,-0.4387751963358694,original_objective_mean,unadjusted_exploratory,7,cold,fully_quadratized,all_designs_diagnostic,0.4259928625370985,original_e4,2
equal_2q_budget_128,67.84099606502265,29.075707522121032,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,48.45835179357184,encoded_energy_mean,unadjusted_exploratory,7,cold,fully_quadratized,all_designs_diagnostic,20.95770490019632,original_e4,2
equal_2q_budget_128,0.13534257821523962,-0.010529162217403916,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,0.06240670799891785,optimum_hit_rate,unadjusted_exploratory,7,cold,fully_quadratized,all_designs_diagnostic,0.07886274046127734,original_e4,2
equal_2q_budget_128,0.9526788144955087,0.8337228547567002,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,0.8932008346261044,auxiliary_inconsistency_rate,unadjusted_exploratory,7,cold,fully_quadratized,all_designs_diagnostic,0.06431124322901735,original_e4,2
equal_2q_budget_128,1.0,0.9999999999999996,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,0.9999999999999998,statevector_norm,unadjusted_exploratory,7,cold,fully_quadratized,all_designs_diagnostic,2.9967209075635457e-16,original_e4,2
equal_2q_budget_128,-0.24051451090009549,-0.6814263082241458,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,-0.46097040956212065,original_objective_mean,unadjusted_exploratory,7,independence,fully_quadratized,all_designs_diagnostic,0.2383704515730906,original_e4,2
equal_2q_budget_128,59.761846540295565,25.0034480732274,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,42.382647306761484,encoded_energy_mean,unadjusted_exploratory,7,independence,fully_quadratized,all_designs_diagnostic,18.79145713232772,original_e4,2
equal_2q_budget_128,0.1402118137435217,0.0021373123345137385,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,0.07117456303901772,optimum_hit_rate,unadjusted_exploratory,7,independence,fully_quadratized,all_designs_diagnostic,0.0746473137061585,original_e4,2
