instance_id,family,representation,common_feasible_cohort_id,transpiler_seed_count,two_qubit_gates_mean,two_qubit_depth_mean,swap_count_mean,routing_overhead_mean,compile_runtime_sec_mean,config_hash,manifest_hash,code_commit
inst_67bfa1c14b3388aa4788b1b0b8fb0a628d9e11fad6d7ead7faa4270deca7be29,max3sat,all_native,sparse_common_feasible_9f8fccc5aaf5b9bb,5,145.2,108.4,21.6,57.2,0.006559719998040237,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_67bfa1c14b3388aa4788b1b0b8fb0a628d9e11fad6d7ead7faa4270deca7be29,max3sat,fully_quadratized,sparse_common_feasible_9f8fccc5aaf5b9bb,5,105.8,57.4,15.0,39.8,0.008026680001057685,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_67bfa1c14b3388aa4788b1b0b8fb0a628d9e11fad6d7ead7faa4270deca7be29,max3sat,selective,sparse_common_feasible_9f8fccc5aaf5b9bb,5,145.2,108.4,21.6,57.2,0.010336139998980799,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_6de219ee046e11cc6b3925b66cc25f0b4641e502623cd3aa766407f918c53235,cubic_spin_glass,all_native,sparse_common_feasible_9f8fccc5aaf5b9bb,5,50.0,43.4,6.4,18.0,0.0058003799960715694,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_6de219ee046e11cc6b3925b66cc25f0b4641e502623cd3aa766407f918c53235,cubic_spin_glass,fully_quadratized,sparse_common_feasible_9f8fccc5aaf5b9bb,5,84.6,54.4,10.6,28.6,0.005978460001642816,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_6de219ee046e11cc6b3925b66cc25f0b4641e502623cd3aa766407f918c53235,cubic_spin_glass,selective,sparse_common_feasible_9f8fccc5aaf5b9bb,5,50.0,43.4,6.4,18.0,0.005073980000452139,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_6ea539895de41953dcf8585c9c5a14620e89386260235c3b1468a17d57ab2b23,cubic_spin_glass,all_native,sparse_common_feasible_9f8fccc5aaf5b9bb,5,96.8,81.2,13.6,32.8,0.0062051199987763535,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_6ea539895de41953dcf8585c9c5a14620e89386260235c3b1468a17d57ab2b23,cubic_spin_glass,fully_quadratized,sparse_common_feasible_9f8fccc5aaf5b9bb,5,148.8,93.2,20.8,60.8,0.006601880001835525,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_6ea539895de41953dcf8585c9c5a14620e89386260235c3b1468a17d57ab2b23,cubic_spin_glass,selective,sparse_common_feasible_9f8fccc5aaf5b9bb,5,96.8,81.2,13.6,32.8,0.006292759999632835,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_7f90e24a78f8a26d1a801c170cc595d5d7669882dcba292c4b15aa6b53b3dacf,cubic_spin_glass,all_native,sparse_common_feasible_9f8fccc5aaf5b9bb,5,41.8,36.8,3.4,9.8,0.00633349999843631,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
