instance_id,family,n_original,active_auxiliary_count,median_abs_single_margin,mean_active_pair_dependence,relaxation_objective,moment_sha256,screening_source,config_hash
inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,cubic_spin_glass,8,4,0.16666666665416674,0.11111111111944438,-47.33333333233334,faf825a4dfcd1f9416394afb8f6aff5ad593a3859fb9e75ad87b83d45c788de4,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_632aa2266c5a8b1deee7057d7e249d25d8bc1a275c8bb08dda8fc56c9bb69386,cubic_spin_glass,10,1,0.0,0.25,-48.999999999,1bc3945b93a2dc5192dc0e94c5e0d6fc6adf05627759768f9dd399cf7089d99a,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_be4a3d5be092c8564c9988ea83bef1406ad1f6a05c28189b05dd1671a4d07828,cubic_spin_glass,6,3,0.0,0.2499999999861112,-39.99999999900001,193fe9909c3eda033b4bfae7096b2f8522d807b7e10c2d56f2fd24e9cdcea621,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_db84b3f703ca9190a26cef200ed28b2bc91d933b0cfd26396693c3ed12e40544,cubic_spin_glass,8,4,0.0,0.25,-67.999999999,0b0cc856daa301fbcf6f7940a6f5511356e6a2e566c2bdd6b48e018fd5e55909,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_50965a34fa49059e1f29d7dc045221ee498c6e472f87b75d278202d238b7cef4,cubic_spin_glass,10,2,0.0,0.24999999997321418,-67.99999999900001,ce55c53ca32a4a9d4146770059a08ae8577e774a3675f7ed45cccc6e0f00a659,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_83c2e2a037ffca29a902a848f8b68e26923748824d5401e91e8fafa8abffd05c,cubic_spin_glass,6,4,0.0,0.24999999999218753,-39.99999999900001,d80a470b87262abc35563ff2a61e17124ee47aa7bc8248eb4a0e48f15f5aeb84,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_e4e4d0826f4d3344bc84ab26382262600ee727d936d3e1fc47d3632ef2d46f72,cubic_spin_glass,8,4,0.0,0.24999999998611117,-63.999999999,6dfeb3263fb489d19bb239caabee597636d2116db31a7c367d1e48332f951b53,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_a251aa15d487644ae899c76f31769a43310b63f8e47d7f704ec43c7cbb1e13e3,cubic_spin_glass,10,2,0.0,0.25,-40.999999999,03e9444aa6facbcb82e1e547e0155c2fef8aed3e5e60ff4b5288afd83149cd70,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_d4a54dd8f66e823e4d6115b31c2e296559fd6c96909c930e313836d3ceddc069,cubic_spin_glass,6,3,6.249978312666826e-11,0.24999999991666697,-31.999999999000003,1ab40b6c8a1f8bfa4207f36a5f6f2d0b99571a6debd7ea00a99bbc2213915ebe,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_61e0fa26f3d119475542031b3964496ecc46a83691f7db9f5d00958ddaaf6d6b,cubic_spin_glass,8,4,0.0,0.25,-63.999999999,1798532714022df0a9e2b0c527ff65f370e7e0918c43dc4b5e670675bcf599b9,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
