family,instance_id,n_design_draws,representation,routing_overhead,swap_count,topology_id,two_qubit_depth,two_qubit_gates
cubic_spin_glass,inst_29626af5a49c14ecc2c2040c11341eeaa8dded055a83fdf07387d51f5846dda9,1,fully_quadratized,0.0,0.0,all_to_all_reference,66.0,292.0
cubic_spin_glass,inst_29626af5a49c14ecc2c2040c11341eeaa8dded055a83fdf07387d51f5846dda9,5,matched_random_selective,0.0,0.0,all_to_all_reference,193.6,300.4
cubic_spin_glass,inst_29626af5a49c14ecc2c2040c11341eeaa8dded055a83fdf07387d51f5846dda9,1,selective,0.0,0.0,all_to_all_reference,137.0,294.0
cubic_spin_glass,inst_2b120f46ab783ce0aa9b4822502780d50c164c50f8bccaebc930a325a4ae0290,1,all_native,0.0,0.0,all_to_all_reference,105.0,128.0
cubic_spin_glass,inst_2b120f46ab783ce0aa9b4822502780d50c164c50f8bccaebc930a325a4ae0290,1,fully_quadratized,0.0,0.0,all_to_all_reference,38.0,134.0
cubic_spin_glass,inst_2b120f46ab783ce0aa9b4822502780d50c164c50f8bccaebc930a325a4ae0290,5,matched_random_selective,0.0,0.0,all_to_all_reference,103.6,151.6
cubic_spin_glass,inst_2b120f46ab783ce0aa9b4822502780d50c164c50f8bccaebc930a325a4ae0290,1,selective,0.0,0.0,all_to_all_reference,86.0,136.0
cubic_spin_glass,inst_33ce7979cf1de88d35d3c355c345fd7635ea96da4c2a6583f60e1e979f21938a,1,all_native,0.0,0.0,all_to_all_reference,112.0,128.0
cubic_spin_glass,inst_33ce7979cf1de88d35d3c355c345fd7635ea96da4c2a6583f60e1e979f21938a,1,fully_quadratized,0.0,0.0,all_to_all_reference,48.0,150.0
cubic_spin_glass,inst_33ce7979cf1de88d35d3c355c345fd7635ea96da4c2a6583f60e1e979f21938a,5,matched_random_selective,0.0,0.0,all_to_all_reference,93.4,166.8
cubic_spin_glass,inst_33ce7979cf1de88d35d3c355c345fd7635ea96da4c2a6583f60e1e979f21938a,1,selective,0.0,0.0,all_to_all_reference,76.0,148.0
cubic_spin_glass,inst_340b7c11203c8b094cacd70e68df48254aa477b67ecdea9afb9cc374b8dcb4a7,1,all_native,0.0,0.0,all_to_all_reference,262.0,320.0
cubic_spin_glass,inst_340b7c11203c8b094cacd70e68df48254aa477b67ecdea9afb9cc374b8dcb4a7,1,fully_quadratized,0.0,0.0,all_to_all_reference,84.0,426.0
cubic_spin_glass,inst_340b7c11203c8b094cacd70e68df48254aa477b67ecdea9afb9cc374b8dcb4a7,5,matched_random_selective,0.0,0.0,all_to_all_reference,257.2,360.4
cubic_spin_glass,inst_340b7c11203c8b094cacd70e68df48254aa477b67ecdea9afb9cc374b8dcb4a7,1,selective,0.0,0.0,all_to_all_reference,117.0,368.0
cubic_spin_glass,inst_341aaea9cc6b648e49be42c5a9a85c286aa8e35d42e20fd993b487fdda2e28cb,1,all_native,0.0,0.0,all_to_all_reference,25.0,32.0
cubic_spin_glass,inst_341aaea9cc6b648e49be42c5a9a85c286aa8e35d42e20fd993b487fdda2e28cb,1,fully_quadratized,0.0,0.0,all_to_all_reference,28.0,62.0
cubic_spin_glass,inst_341aaea9cc6b648e49be42c5a9a85c286aa8e35d42e20fd993b487fdda2e28cb,5,matched_random_selective,0.0,0.0,all_to_all_reference,25.0,32.0
cubic_spin_glass,inst_341aaea9cc6b648e49be42c5a9a85c286aa8e35d42e20fd993b487fdda2e28cb,1,selective,0.0,0.0,all_to_all_reference,25.0,32.0
cubic_spin_glass,inst_457a1b897247007214daca60d4caf6ae6d0341f6d1e25c03ef72a4651794688d,1,all_native,0.0,0.0,all_to_all_reference,51.0,64.0
cubic_spin_glass,inst_457a1b897247007214daca60d4caf6ae6d0341f6d1e25c03ef72a4651794688d,1,fully_quadratized,0.0,0.0,all_to_all_reference,40.0,104.0
cubic_spin_glass,inst_457a1b897247007214daca60d4caf6ae6d0341f6d1e25c03ef72a4651794688d,5,matched_random_selective,0.0,0.0,all_to_all_reference,51.0,64.0
cubic_spin_glass,inst_457a1b897247007214daca60d4caf6ae6d0341f6d1e25c03ef72a4651794688d,1,selective,0.0,0.0,all_to_all_reference,51.0,64.0
cubic_spin_glass,inst_475335f157ee1891b40b8f710155777516f4d877098145d0ddce1fce297c55df,1,all_native,0.0,0.0,all_to_all_reference,103.0,128.0
cubic_spin_glass,inst_475335f157ee1891b40b8f710155777516f4d877098145d0ddce1fce297c55df,1,fully_quadratized,0.0,0.0,all_to_all_reference,48.0,152.0
cubic_spin_glass,inst_475335f157ee1891b40b8f710155777516f4d877098145d0ddce1fce297c55df,5,matched_random_selective,0.0,0.0,all_to_all_reference,93.4,156.4
