budget_key,budget_mode,instance_id,metric,new_classification,new_effect,new_status,old_classification,old_effect,old_status,topology_id
not_applicable,not_applicable,inst_2f15d2f234c8f1df4c005ad0920e30245530206ef3ff58661a368393a9143cfb,compiled_two_qubit_depth,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_2f15d2f234c8f1df4c005ad0920e30245530206ef3ff58661a368393a9143cfb,routing_overhead,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_44fe959f979ed41d00ed5d00c8ad559cb9fcc3a1f54352020e9bee9224ecc496,compiled_two_qubit_gates,help,0.33656957928802583,pass,help,0.33656957928802583,pass,all_to_all_reference
not_applicable,not_applicable,inst_44fe959f979ed41d00ed5d00c8ad559cb9fcc3a1f54352020e9bee9224ecc496,compiled_two_qubit_depth,help,0.4427244582043343,pass,help,0.4427244582043343,pass,all_to_all_reference
not_applicable,not_applicable,inst_44fe959f979ed41d00ed5d00c8ad559cb9fcc3a1f54352020e9bee9224ecc496,routing_overhead,little_effect,0.0,pass,little_effect,0.0,pass,all_to_all_reference
not_applicable,not_applicable,inst_44fe959f979ed41d00ed5d00c8ad559cb9fcc3a1f54352020e9bee9224ecc496,compiled_two_qubit_gates,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_44fe959f979ed41d00ed5d00c8ad559cb9fcc3a1f54352020e9bee9224ecc496,compiled_two_qubit_depth,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_44fe959f979ed41d00ed5d00c8ad559cb9fcc3a1f54352020e9bee9224ecc496,routing_overhead,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_4de883a02a19b7c89e5a750e6dcb1d4f9e6df46511c418ac80e3e264607c4b3d,compiled_two_qubit_gates,help,0.11432604093154544,pass,help,0.11681914144968328,pass,all_to_all_reference
not_applicable,not_applicable,inst_4de883a02a19b7c89e5a750e6dcb1d4f9e6df46511c418ac80e3e264607c4b3d,compiled_two_qubit_depth,help,0.45729537366548045,pass,help,0.4845857418111753,pass,all_to_all_reference
not_applicable,not_applicable,inst_4de883a02a19b7c89e5a750e6dcb1d4f9e6df46511c418ac80e3e264607c4b3d,routing_overhead,little_effect,0.0,pass,little_effect,0.0,pass,all_to_all_reference
not_applicable,not_applicable,inst_4de883a02a19b7c89e5a750e6dcb1d4f9e6df46511c418ac80e3e264607c4b3d,compiled_two_qubit_gates,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_4de883a02a19b7c89e5a750e6dcb1d4f9e6df46511c418ac80e3e264607c4b3d,compiled_two_qubit_depth,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_4de883a02a19b7c89e5a750e6dcb1d4f9e6df46511c418ac80e3e264607c4b3d,routing_overhead,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_532ca52e0bd47ef393cd0da8c1c69dadce16850b3ef6b9be0dad7c95b2678c55,compiled_two_qubit_gates,help,0.08783783783783788,pass,help,0.08783783783783788,pass,all_to_all_reference
not_applicable,not_applicable,inst_532ca52e0bd47ef393cd0da8c1c69dadce16850b3ef6b9be0dad7c95b2678c55,compiled_two_qubit_depth,help,0.3076923076923077,pass,help,0.3076923076923077,pass,all_to_all_reference
not_applicable,not_applicable,inst_532ca52e0bd47ef393cd0da8c1c69dadce16850b3ef6b9be0dad7c95b2678c55,routing_overhead,little_effect,0.0,pass,little_effect,0.0,pass,all_to_all_reference
not_applicable,not_applicable,inst_532ca52e0bd47ef393cd0da8c1c69dadce16850b3ef6b9be0dad7c95b2678c55,compiled_two_qubit_gates,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_532ca52e0bd47ef393cd0da8c1c69dadce16850b3ef6b9be0dad7c95b2678c55,compiled_two_qubit_depth,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_532ca52e0bd47ef393cd0da8c1c69dadce16850b3ef6b9be0dad7c95b2678c55,routing_overhead,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_5e84026f5ef89b88de9d4b994118f120646ed7435887f0713ffd0b2f2cd5428d,compiled_two_qubit_gates,little_effect,0.0,pass,little_effect,0.0,pass,all_to_all_reference
not_applicable,not_applicable,inst_5e84026f5ef89b88de9d4b994118f120646ed7435887f0713ffd0b2f2cd5428d,compiled_two_qubit_depth,little_effect,0.0,pass,little_effect,0.0,pass,all_to_all_reference
not_applicable,not_applicable,inst_5e84026f5ef89b88de9d4b994118f120646ed7435887f0713ffd0b2f2cd5428d,routing_overhead,little_effect,0.0,pass,little_effect,0.0,pass,all_to_all_reference
not_applicable,not_applicable,inst_5e84026f5ef89b88de9d4b994118f120646ed7435887f0713ffd0b2f2cd5428d,compiled_two_qubit_gates,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_5e84026f5ef89b88de9d4b994118f120646ed7435887f0713ffd0b2f2cd5428d,compiled_two_qubit_depth,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_5e84026f5ef89b88de9d4b994118f120646ed7435887f0713ffd0b2f2cd5428d,routing_overhead,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_5f65d193d7b5370c9379fde1b52bfef9bc19e4da666d19b2e186471b1e77bf32,compiled_two_qubit_gates,little_effect,0.0,pass,little_effect,0.0,pass,all_to_all_reference
not_applicable,not_applicable,inst_5f65d193d7b5370c9379fde1b52bfef9bc19e4da666d19b2e186471b1e77bf32,compiled_two_qubit_depth,little_effect,0.0,pass,little_effect,0.0,pass,all_to_all_reference
not_applicable,not_applicable,inst_5f65d193d7b5370c9379fde1b52bfef9bc19e4da666d19b2e186471b1e77bf32,routing_overhead,little_effect,0.0,pass,little_effect,0.0,pass,all_to_all_reference
not_applicable,not_applicable,inst_5f65d193d7b5370c9379fde1b52bfef9bc19e4da666d19b2e186471b1e77bf32,compiled_two_qubit_gates,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_5f65d193d7b5370c9379fde1b52bfef9bc19e4da666d19b2e186471b1e77bf32,compiled_two_qubit_depth,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_5f65d193d7b5370c9379fde1b52bfef9bc19e4da666d19b2e186471b1e77bf32,routing_overhead,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_623ed3fa24dead6f0f9dd1096cce82dc9a048bf774730e23b964d7d43607fd83,compiled_two_qubit_gates,little_effect,0.0,pass,little_effect,0.0,pass,all_to_all_reference
not_applicable,not_applicable,inst_623ed3fa24dead6f0f9dd1096cce82dc9a048bf774730e23b964d7d43607fd83,compiled_two_qubit_depth,little_effect,0.0,pass,little_effect,0.0,pass,all_to_all_reference
not_applicable,not_applicable,inst_623ed3fa24dead6f0f9dd1096cce82dc9a048bf774730e23b964d7d43607fd83,routing_overhead,little_effect,0.0,pass,little_effect,0.0,pass,all_to_all_reference
not_applicable,not_applicable,inst_623ed3fa24dead6f0f9dd1096cce82dc9a048bf774730e23b964d7d43607fd83,compiled_two_qubit_gates,little_effect,0.0,pass,little_effect,0.0,pass,device_sparse_v1
not_applicable,not_applicable,inst_623ed3fa24dead6f0f9dd1096cce82dc9a048bf774730e23b964d7d43607fd83,compiled_two_qubit_depth,little_effect,0.0,pass,little_effect,0.0,pass,device_sparse_v1
not_applicable,not_applicable,inst_623ed3fa24dead6f0f9dd1096cce82dc9a048bf774730e23b964d7d43607fd83,routing_overhead,little_effect,0.0,pass,little_effect,0.0,pass,device_sparse_v1
not_applicable,not_applicable,inst_629843195526c2b817edb433d2bf81dc1c9d7d1b6b358890ba16bbbcd422ab15,compiled_two_qubit_gates,little_effect,0.0,pass,little_effect,0.0,pass,all_to_all_reference
not_applicable,not_applicable,inst_629843195526c2b817edb433d2bf81dc1c9d7d1b6b358890ba16bbbcd422ab15,compiled_two_qubit_depth,little_effect,0.0,pass,little_effect,0.0,pass,all_to_all_reference
not_applicable,not_applicable,inst_629843195526c2b817edb433d2bf81dc1c9d7d1b6b358890ba16bbbcd422ab15,routing_overhead,little_effect,0.0,pass,little_effect,0.0,pass,all_to_all_reference
not_applicable,not_applicable,inst_629843195526c2b817edb433d2bf81dc1c9d7d1b6b358890ba16bbbcd422ab15,compiled_two_qubit_gates,little_effect,0.0,pass,little_effect,0.0,pass,device_sparse_v1
not_applicable,not_applicable,inst_629843195526c2b817edb433d2bf81dc1c9d7d1b6b358890ba16bbbcd422ab15,compiled_two_qubit_depth,little_effect,0.0,pass,little_effect,0.0,pass,device_sparse_v1
not_applicable,not_applicable,inst_629843195526c2b817edb433d2bf81dc1c9d7d1b6b358890ba16bbbcd422ab15,routing_overhead,little_effect,0.0,pass,little_effect,0.0,pass,device_sparse_v1
not_applicable,not_applicable,inst_67bfa1c14b3388aa4788b1b0b8fb0a628d9e11fad6d7ead7faa4270deca7be29,compiled_two_qubit_gates,help,0.13242009132420085,pass,help,0.13242009132420085,pass,all_to_all_reference
