scope,study,family,representation,budget_key,depth_stratum,policy,metric,n_instances,mean,sd,ci95_low,ci95_high,df,ci_status,zero_depth_instance_count,ci_unit,ci_method,multiplicity
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,positive_depth_only,cold,auxiliary_inconsistency_rate,7,0.0,0.0,0.0,0.0,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,positive_depth_only,cold,statevector_norm,7,1.0000000000000002,1.3917382147355022e-16,1.0,1.0000000000000004,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,positive_depth_only,original_only,original_objective_mean,7,-1.8863731181257477,0.6526668438271908,-2.489989273707482,-1.2827569625440132,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,positive_depth_only,original_only,encoded_energy_mean,7,-1.8863731181257477,0.6526668438271908,-2.489989273707482,-1.2827569625440132,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,positive_depth_only,original_only,optimum_hit_rate,7,0.11590336003395409,0.11198063741680116,0.012338543625081022,0.21946817644282715,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,positive_depth_only,original_only,auxiliary_inconsistency_rate,7,0.0,0.0,0.0,0.0,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,positive_depth_only,original_only,statevector_norm,7,1.0000000000000002,5.768888059150692e-16,0.9999999999999997,1.0000000000000007,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p2,all_scheduled,cold,original_objective_mean,7,-2.6185070455065143,1.103921169053985,-3.6394638451843777,-1.597550245828651,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p2,all_scheduled,cold,encoded_energy_mean,7,-2.6185070455065143,1.103921169053985,-3.6394638451843777,-1.597550245828651,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p2,all_scheduled,cold,optimum_hit_rate,7,0.1608773613755725,0.17774800896892007,-0.003512128991330854,0.3252668517424758,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p2,all_scheduled,cold,auxiliary_inconsistency_rate,7,0.0,0.0,0.0,0.0,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p2,all_scheduled,cold,statevector_norm,7,1.0000000000000002,4.2724872656102426e-16,0.9999999999999998,1.0000000000000007,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p2,all_scheduled,original_only,original_objective_mean,7,-2.652076946090112,1.222974842419631,-3.7831400294018382,-1.521013862778386,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p2,all_scheduled,original_only,encoded_energy_mean,7,-2.652076946090112,1.222974842419631,-3.7831400294018382,-1.521013862778386,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p2,all_scheduled,original_only,optimum_hit_rate,7,0.19744151147143743,0.1783249509380663,0.03251843877734295,0.3623645841655319,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p2,all_scheduled,original_only,auxiliary_inconsistency_rate,7,0.0,0.0,0.0,0.0,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p2,all_scheduled,original_only,statevector_norm,7,1.0000000000000002,5.047141111338362e-16,0.9999999999999998,1.0000000000000007,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p2,positive_depth_only,cold,original_objective_mean,7,-2.6185070455065143,1.103921169053985,-3.6394638451843777,-1.597550245828651,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p2,positive_depth_only,cold,encoded_energy_mean,7,-2.6185070455065143,1.103921169053985,-3.6394638451843777,-1.597550245828651,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
