study,family,instance_id,representation,budget_key,depth_stratum,contrast,draw_count,zero_depth_draw_count,original_objective_mean,encoded_energy_mean,optimum_hit_rate,auxiliary_inconsistency_rate,statevector_norm
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p1,all_scheduled,independence_minus_cold,1,0,-0.28942639272523357,14.48935200026753,-0.007723104866185878,0.04827298474822739,-1.4432899320127035e-15
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p1,all_scheduled,pair_minus_original_only,1,0,-0.40572436298780756,1.34764706134753,0.0036837544477058767,-0.0003078812469851089,-1.4432899320127035e-15
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p1,all_scheduled,pair_minus_independence,1,0,-0.05448349567150468,-8.628063839279307,-0.0010461471141198012,-0.01771343504702083,-4.440892098500626e-16
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p1,positive_depth_only,pair_minus_cold,1,0,-0.34390988839673825,5.861288160988224,-0.008769251980305679,0.030559549701206556,-1.887379141862766e-15
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p1,positive_depth_only,original_only_minus_cold,1,0,0.06181447459106931,4.513641099640694,-0.012453006428011556,0.030867430948191665,-4.440892098500626e-16
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p1,positive_depth_only,independence_minus_cold,1,0,-0.28942639272523357,14.48935200026753,-0.007723104866185878,0.04827298474822739,-1.4432899320127035e-15
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p1,positive_depth_only,pair_minus_original_only,1,0,-0.40572436298780756,1.34764706134753,0.0036837544477058767,-0.0003078812469851089,-1.4432899320127035e-15
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p1,positive_depth_only,pair_minus_independence,1,0,-0.05448349567150468,-8.628063839279307,-0.0010461471141198012,-0.01771343504702083,-4.440892098500626e-16
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p2,all_scheduled,pair_minus_cold,1,0,-0.07746749417162219,9.060782266881347,-0.011022137884504502,0.051707209740451954,-2.55351295663786e-15
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p2,all_scheduled,original_only_minus_cold,1,0,-0.5175520004513247,-2.784793610562616,-0.010801190289809939,0.016686746678753472,-2.220446049250313e-16
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p2,all_scheduled,independence_minus_cold,1,0,-0.4664083976004173,2.759706247558256,-0.011146584137294111,0.033762374626012726,-1.6653345369377348e-15
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p2,all_scheduled,pair_minus_original_only,1,0,0.44008450627970247,11.845575877443963,-0.00022094759469456354,0.03502046306169848,-2.3314683517128287e-15
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p2,all_scheduled,pair_minus_independence,1,0,0.3889409034287951,6.301076019323091,0.00012444625278960897,0.017944835114439228,-8.881784197001252e-16
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p2,positive_depth_only,pair_minus_cold,1,0,-0.07746749417162219,9.060782266881347,-0.011022137884504502,0.051707209740451954,-2.55351295663786e-15
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p2,positive_depth_only,original_only_minus_cold,1,0,-0.5175520004513247,-2.784793610562616,-0.010801190289809939,0.016686746678753472,-2.220446049250313e-16
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p2,positive_depth_only,independence_minus_cold,1,0,-0.4664083976004173,2.759706247558256,-0.011146584137294111,0.033762374626012726,-1.6653345369377348e-15
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p2,positive_depth_only,pair_minus_original_only,1,0,0.44008450627970247,11.845575877443963,-0.00022094759469456354,0.03502046306169848,-2.3314683517128287e-15
