study,family,instance_id,representation,budget_key,policy,depth_stratum,original_objective_mean,encoded_energy_mean,optimum_hit_rate,auxiliary_inconsistency_rate,statevector_norm,draw_count,restart_count,zero_depth_draw_count,draw_ids,depths
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p2,cold,positive_depth_only,-0.34761888876812086,43.33545075046688,0.0375315532126388,0.8916603377082756,1.0000000000000004,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p2,original_only,all_scheduled,-0.8651708892194455,40.55065713990427,0.02673036292282886,0.908347084387029,1.0000000000000002,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p2,original_only,positive_depth_only,-0.8651708892194455,40.55065713990427,0.02673036292282886,0.908347084387029,1.0000000000000002,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p2,pair,all_scheduled,-0.42508638293974305,52.39623301734823,0.026509415328134295,0.9433675474487275,0.9999999999999979,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p2,pair,positive_depth_only,-0.42508638293974305,52.39623301734823,0.026509415328134295,0.9433675474487275,0.9999999999999979,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p2,independence,all_scheduled,-0.8140272863685382,46.09515699802514,0.026384969075344687,0.9254227123342883,0.9999999999999988,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p2,independence,positive_depth_only,-0.8140272863685382,46.09515699802514,0.026384969075344687,0.9254227123342883,0.9999999999999988,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p1,cold,all_scheduled,-0.5948592546093214,52.2719800284741,0.04049749883886227,0.9196547558157059,1.0,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p1,cold,positive_depth_only,-0.5948592546093214,52.2719800284741,0.04049749883886227,0.9196547558157059,1.0,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p1,original_only,all_scheduled,-0.540187237305199,50.324433503582185,0.052611382972920784,0.940447172322696,1.0000000000000007,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p1,original_only,positive_depth_only,-0.540187237305199,50.324433503582185,0.052611382972920784,0.940447172322696,1.0000000000000007,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p1,pair,all_scheduled,-0.5500923561812656,52.99421773589476,0.04138535652523246,0.9567576329038419,0.9999999999999994,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p1,pair,positive_depth_only,-0.5500923561812656,52.99421773589476,0.04138535652523246,0.9567576329038419,0.9999999999999994,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p1,independence,all_scheduled,-1.05509776332262,40.895630703582704,0.09697463480288576,0.8733475076727503,1.0000000000000007,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p1,independence,positive_depth_only,-1.05509776332262,40.895630703582704,0.09697463480288576,0.8733475076727503,1.0000000000000007,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p2,cold,all_scheduled,-0.6985618143761397,61.13496942035878,0.09005745435147029,0.9662728450289705,1.0000000000000002,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p2,cold,positive_depth_only,-0.6985618143761397,61.13496942035878,0.09005745435147029,0.9662728450289705,1.0000000000000002,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p2,original_only,all_scheduled,-0.7664392224084091,40.75149449406206,0.096895537506117,0.8952946420591115,1.0,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p2,original_only,positive_depth_only,-0.7664392224084091,40.75149449406206,0.096895537506117,0.8952946420591115,1.0,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p2,pair,all_scheduled,-0.7933727056994747,66.65182526859802,0.07685637367481314,0.9739954950396132,0.9999999999999997,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p2,pair,positive_depth_only,-0.7933727056994747,66.65182526859802,0.07685637367481314,0.9739954950396132,0.9999999999999997,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p2,independence,all_scheduled,-0.5903061005350422,44.784412938274095,0.06015818232926722,0.8742189374027972,1.0000000000000002,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p2,independence,positive_depth_only,-0.5903061005350422,44.784412938274095,0.06015818232926722,0.8742189374027972,1.0000000000000002,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_3141412d947d22c843612dbff6441869a4d5ca25f958eaa4f28e48162ee11b82,selective,equal_layer_p1,cold,all_scheduled,-0.4971163878676088,48.562060831771674,0.02797698019599425,0.9518385046113788,0.9999999999999996,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_3141412d947d22c843612dbff6441869a4d5ca25f958eaa4f28e48162ee11b82,selective,equal_layer_p1,cold,positive_depth_only,-0.4971163878676088,48.562060831771674,0.02797698019599425,0.9518385046113788,0.9999999999999996,1,3,0,"[""""]",[1]
