instance_id,family,n_original,cubic_count,proof_complete,lower_bound,upper_bound,final_gap,explored_nodes,evaluated_leaves,pruned_by_bound,pruned_by_capacity,runtime_sec,selected_actions,matches_frozen_optimum,config_hash,code_commit
inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e,cubic_spin_glass,6,6,True,0.1734375,0.1734375,0.0,5461,4096,0,0,1.5385589999496005,"[None, None, None, None, None, None]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc,max3sat,5,5,True,0.2638020833333333,0.2638020833333333,0.0,1365,1024,0,0,0.3531592999934219,"[None, None, [2, 3], None, None]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_0434852d0e4bbbb6edc67f1a83f9235d3f150efab1e9f63ee316ef80112685d3,max3sat,6,6,True,0.27317708333333335,0.27317708333333335,0.0,5461,4096,0,0,1.3103091000230052,"[[3, 5], [3, 5], None, [3, 5], [3, 5], None]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_04c7adf299195c173b500ce86f205513eca7d191719b6400ef5c5d39ea93edd6,max3sat,7,5,True,0.25677083333333334,0.25677083333333334,0.0,1365,1024,0,0,0.31803539994871244,"[[1, 2], [1, 2], None, None, None]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_0814a7f7209be13ad388d27539bcc139991e38e27e4109df932f9f2de6d1fb26,max3sat,8,8,True,0.29401041666666666,0.29401041666666666,0.0,32915,20804,0,15530,9.897735300008208,"[[5, 7], [6, 7], [5, 7], [6, 7], [5, 7], [6, 7], [5, 7], [5, 7]]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_0bdf06213b0c1e415e6c0a81524e96b9851ee0dc28195e16ab9709770c9c0a09,max3sat,7,7,True,0.32057291666666665,0.32057291666666665,0.0,18922,13669,0,2091,6.501741199987009,"[[1, 5], [1, 5], [1, 5], [5, 6], [5, 6], [5, 6], [5, 6]]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_0f7871f37dcd4ef84cf9455a90e11b827d46367515b165688ef404b08d63104f,max3sat,8,7,True,0.29791666666666666,0.29791666666666666,0.0,10731,6894,0,4618,3.0321598000009544,"[[3, 7], [4, 6], [4, 6], None, [3, 7], [3, 7], None]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_10ca5aecf714abb0b674a9eef82f020a79bf22927cabfbb4326e9c5809e6543d,cubic_spin_glass,7,7,True,0.196875,0.196875,0.0,18333,13149,0,2404,6.265242199995555,"[None, None, None, None, None, None, None]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_180785c07fe5da0a6002c7eb0dca0888faae7967d7ce35621d5dd5a4887463d9,cubic_spin_glass,7,7,True,0.2203125,0.2203125,0.0,18543,13334,0,2294,5.075421700021252,"[None, None, None, None, None, None, None]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_2054e7fca85340c05c6ca94bcfab677cc7edc66aa48bd6adfd3eee1d03749506,cubic_spin_glass,6,6,True,0.178125,0.178125,0.0,5461,4096,0,0,1.553880300023593,"[None, None, None, None, None, None]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_207178134690f4e7e3f8009eb86a8760f5f7ead2031e35396a586eb03232ad7a,max3sat,7,6,True,0.27317708333333335,0.27317708333333335,0.0,5197,3832,0,264,1.3033378000254743,"[[4, 5], [4, 5], None, None, [4, 5], None]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_220100abb31a5a97f11076f61def95465ec3ae5b771dee099dcf27d9858cb925,cubic_spin_glass,5,5,True,0.1640625,0.1640625,0.0,1365,1024,0,0,0.35406429995782673,"[None, None, None, None, None]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
